date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-07-29,oil97,33,33,61000,9242,61000,27727.0,2013000,887919
2015-07-30,oil93,129,129,55000,9167,55000,18333.0,7095000,2562723
2015-07-30,oil97,27,27,61000,9242,61000,22376.0,1647000,663520
2015-07-31,oil93,179,179,55000,3208,55000,18333.0,9845000,3538450
2015-07-31,oil97,42,42,61000,11091,61000,27265.0,2562000,1084533
2015-08-01,oil93,147,147,55000,7792,55000,18333.0,8085000,2815376
2015-08-01,oil97,28,28,61000,7948,61000,24030.0,1708000,620079
2015-08-02,oil93,151,151,55000,7333,55000,18333.0,8305000,2930158
2015-08-02,oil97,22,22,61000,9242,61000,26572.0,1342000,567917
2015-08-03,oil93,203,203,55000,2933,55000,18333.0,11165000,3894556
2015-08-03,oil97,38,38,61000,13864,61000,21901.0,2318000,971347
2015-08-04,oil93,191,191,53000,1742,55000,18333.0,10501000,3804281
2015-08-04,oil97,35,35,59000,9150,61000,25879.0,2131000,857709
2015-08-05,oil93,235,235,53000,6397,53000,18276.0,12455000,4696950
2015-08-05,oil97,48,48,59000,9219,59000,25812.5,2832000,1214500
2015-08-06,oil93,198,198,53000,2741,53000,18276.0,10494000,3752150
2015-08-06,oil97,45,45,59000,13828,59000,26734.0,2655000,1224419
2015-08-07,oil93,208,208,53000,4569,53000,18276.0,11024000,3974645
2015-08-07,oil97,41,41,59000,2766,59000,27656.0,2419000,1102609
2015-08-08,oil93,202,202,53000,4399,53000,18276.0,10706000,3941134
2015-08-08,oil97,47,47,59000,9219,59000,25813.0,2773000,1191170
2015-08-09,oil93,183,183,53000,3198,53000,18276.0,9699000,3608962
2015-08-09,oil97,34,34,59000,16594,59000,19866.5,2006000,836455
2015-08-10,oil93,247,247,53000,3107,53000,18276.0,13091000,4752902
2015-08-10,oil97,32,32,59000,9219,59000,18438.0,1888000,705163
2015-08-11,oil93,170,170,53000,6853,53000,18276.0,9010000,3347535
2015-08-11,oil97,37,37,59000,9219,59000,27656.0,2183000,936101
2015-08-12,oil93,211,211,53000,4203,53000,18276.0,11183000,4035619
2015-08-12,oil97,34,34,59000,9219,59000,21203.0,2006000,835041
2015-08-13,oil93,202,202,53000,9047,53000,18276.0,10706000,3816964
2015-08-13,oil97,36,36,59000,11063,59000,27656.0,2124000,1021161
2015-08-14,oil93,203,203,53000,914,53000,18276.0,10759000,3888863
2015-08-14,oil97,40,40,59000,5347,59000,27656.0,2360000,1015688
2015-08-15,oil93,164,164,53000,6646,53000,18276.0,8692000,3131330
2015-08-15,oil97,38,38,59000,9219,59000,26043.0,2242000,935341
2015-08-16,oil93,155,155,53000,4569,53000,18276.0,8215000,2776853
2015-08-16,oil97,28,28,59000,9219,59000,27425.5,1652000,719617
2015-08-17,oil93,203,203,53000,4569,53000,18276.0,10759000,3873826
2015-08-17,oil97,64,64,59000,9219,59000,25582.0,3776000,1598378
2015-08-18,oil93,175,175,51500,1828,53000,18276.0,9266000,3376089
2015-08-18,oil97,35,35,59000,1729,59000,27656.0,2065000,855389
2015-08-19,oil93,196,196,51500,5417,51500,18230.0,10094000,3722851
2015-08-19,oil97,41,41,57500,9200,57500,26220.0,2357500,1035414
2015-08-20,oil93,210,210,51500,1367,51500,18230.0,10815000,3956757
2015-08-20,oil97,30,30,57500,9200,57500,27600.0,1725000,800308
2015-08-21,oil93,237,237,51500,4558,51500,18230.0,12205500,4532434
2015-08-21,oil97,41,41,57500,7636,57500,23000.0,2357500,987224
2015-08-22,oil93,216,216,51500,3646,51500,18230.0,11124000,4042842
2015-08-22,oil97,44,44,57500,5520,57500,22080.0,2530000,1019395
2015-08-23,oil93,191,191,51500,5907,51500,18230.0,9836500,3542727
2015-08-23,oil97,24,24,57500,9200,57500,26220.0,1380000,621460
2015-08-24,oil93,232,232,51500,4558,51500,18230.0,11948000,4586816
2015-08-24,oil97,47,47,57500,12420,57500,26680.0,2702500,1209846
